"Date","Price","Open","High","Low","Vol.","Change %"
"12/09/2024","2658.78","2635.53","2676.53","2627.47","","+0.98%"
"12/09/2024","2658.78","2635.53","2676.53","2627.47","","+0.98%"
"12/06/2024","2632.91","2632.18","2645.69","2613.57","","0.03%"
"12/05/2024","2632.05","2649.92","2655.62","2623.55","","-0.67%"
"12/04/2024","2649.79","2643.57","2657.37","2632.50","","0.24%"
"12/03/2024","2643.44","2639.05","2655.71","2634.12","121.32K","0.17%"
"12/02/2024","2638.93","2653.82","2656.21","2621.90","","-0.55%"
"11/29/2024","2653.55","2641.20","2666.35","2634.12","","0.48%"
"11/28/2024","2640.96","2635.74","2650.12","2620.94","","0.21%"
"11/27/2024","2635.51","2632.16","2658.40","2627.06","","0.14%"
"11/26/2024","2631.89","2625.38","2642.05","2605.30","","0.25%"
"11/25/2024","2625.26","2715.10","2721.43","2615.70","","-3.22%"
"11/22/2024","2712.55","2669.84","2712.91","2667.38","","1.61%"
"11/21/2024","2669.69","2650.19","2673.86","2647.95","","0.74%"
"11/20/2024","2650.05","2631.80","2655.50","2618.70","","0.70%"
"11/19/2024","2631.68","2612.29","2639.69","2610.25","","0.75%"
"11/18/2024","2612.20","2561.59","2615.17","2561.59","","1.99%"
"11/15/2024","2561.24","2566.54","2576.10","2554.58","","-0.19%"
"11/14/2024","2566.19","2573.91","2581.61","2536.90","","-0.29%"
"11/13/2024","2573.78","2597.41","2618.97","2573.00","","-0.90%"
"11/12/2024","2597.27","2620.31","2627.24","2589.80","","-0.88%"
"11/11/2024","2620.20","2684.81","2686.51","2610.62","","-2.37%"
"11/08/2024","2683.77","2707.37","2710.51","2680.36","","-0.86%"
"11/07/2024","2706.99","2659.37","2710.20","2643.50","","1.80%"
"11/06/2024","2659.24","2743.88","2749.81","2652.44","","-3.07%"
"11/05/2024","2743.59","2736.59","2750.06","2724.75","","0.26%"
"11/04/2024","2736.39","2734.11","2748.30","2729.79","","0.05%"
"11/01/2024","2735.16","2742.50","2762.30","2733.20","","-0.32%"
"10/31/2024","2743.80","2787.75","2790.41","2731.65","","-1.52%"
"10/30/2024","2786.19","2775.01","2790.10","2770.65","","0.40%"
"10/29/2024","2775.13","2743.70","2775.89","2739.82","","1.21%"
"10/28/2024","2741.98","2734.85","2746.07","2724.72","","-0.21%"
"10/25/2024","2747.69","2736.10","2747.97","2716.97","","0.44%"
"10/24/2024","2735.70","2717.99","2743.38","2715.72","","0.67%"
"10/23/2024","2717.54","2749.52","2758.53","2708.79","","-1.12%"
"10/22/2024","2748.38","2720.00","2749.47","2718.93","","1.06%"
"10/21/2024","2719.65","2721.71","2740.61","2714.23","","-0.02%"
"10/18/2024","2720.25","2692.41","2722.87","2691.48","","1.03%"
"10/17/2024","2692.55","2674.05","2696.80","2673.00","","0.72%"
"10/16/2024","2673.24","2663.00","2685.73","2658.71","","0.46%"
"10/15/2024","2660.99","2651.75","2669.07","2638.31","","0.37%"
"10/14/2024","2651.05","2657.21","2666.94","2643.16","","-0.19%"
"10/11/2024","2656.00","2630.80","2661.55","2627.65","","1.01%"
"10/10/2024","2629.48","2608.14","2631.63","2604.15","","0.83%"
"10/09/2024","2607.77","2620.19","2624.65","2605.18","","-0.54%"
"10/08/2024","2621.94","2643.50","2653.09","2604.79","","-0.82%"
"10/07/2024","2643.58","2651.20","2659.91","2637.70","","-0.33%"
"10/04/2024","2652.25","2654.39","2670.15","2632.00","","-0.14%"
"10/03/2024","2655.90","2658.66","2663.40","2639.73","","-0.07%"
"10/02/2024","2657.75","2661.15","2663.85","2641.18","","-0.19%"
"10/01/2024","2662.82","2635.41","2673.20","2631.98","","1.08%"
"09/30/2024","2634.49","2658.30","2666.11","2624.78","","-0.88%"
"09/27/2024","2657.97","2669.50","2674.40","2643.15","","-0.46%"
"09/26/2024","2670.20","2657.32","2685.96","2654.56","","0.50%"
"09/25/2024","2656.82","2655.90","2670.60","2649.84","","0.00%"
"09/24/2024","2656.70","2628.92","2664.47","2622.58","","1.08%"
"09/23/2024","2628.40","2621.81","2635.54","2613.60","","0.25%"
"09/20/2024","2621.96","2587.50","2625.79","2584.81","","1.37%"
"09/19/2024","2586.48","2559.07","2594.89","2551.26","","1.07%"
"09/18/2024","2559.16","2571.73","2600.21","2546.98","","-0.40%"
"09/17/2024","2569.52","2582.46","2587.01","2560.84","","-0.51%"
"09/16/2024","2582.58","2578.06","2589.78","2575.40","","0.24%"
"09/13/2024","2576.50","2556.52","2586.18","2556.52","","0.69%"
"09/12/2024","2558.75","2512.02","2560.21","2511.02","","1.88%"
"09/11/2024","2511.44","2515.70","2529.40","2501.01","","-0.19%"
"09/10/2024","2516.12","2506.84","2518.57","2500.16","","0.43%"
"09/09/2024","2505.25","2497.32","2507.42","2485.60","","0.33%"
"09/06/2024","2497.03","2516.90","2529.30","2485.15","","-0.77%"
"09/05/2024","2516.32","2495.50","2523.54","2493.76","","0.86%"
"09/04/2024","2494.84","2492.94","2500.20","2471.95","","0.08%"
"09/03/2024","2492.76","2500.50","2506.44","2473.25","","-0.26%"
"09/02/2024","2499.29","2502.74","2507.50","2490.14","","-0.15%"
"08/30/2024","2503.03","2520.89","2527.07","2494.36","","-0.72%"
"08/29/2024","2521.18","2504.65","2528.77","2503.65","","0.76%"
"08/28/2024","2502.25","2522.74","2529.15","2493.66","","-0.88%"
"08/27/2024","2524.57","2518.30","2526.27","2503.41","","0.31%"
"08/26/2024","2516.89","2511.43","2527.76","2508.71","","0.19%"
"08/23/2024","2512.07","2482.20","2518.45","2481.20","","1.16%"
"08/22/2024","2483.29","2512.50","2514.82","2470.86","","-1.14%"
"08/21/2024","2511.95","2512.82","2520.09","2494.15","","-0.07%"
"08/20/2024","2513.74","2501.55","2532.05","2497.33","","0.39%"
"08/19/2024","2503.92","2508.40","2510.45","2485.83","","-0.13%"
"08/16/2024","2507.28","2456.57","2509.89","2450.76","","2.08%"
"08/15/2024","2456.10","2448.15","2470.25","2432.19","","0.35%"
"08/14/2024","2447.64","2467.40","2478.49","2438.12","","-0.71%"
"08/13/2024","2465.03","2472.64","2477.02","2458.50","","-0.29%"
"08/12/2024","2472.25","2431.21","2473.48","2423.84","","1.70%"
"08/09/2024","2430.93","2427.29","2437.15","2416.93","","0.17%"
"08/08/2024","2426.75","2382.43","2427.80","2380.70","","1.90%"
"08/07/2024","2381.53","2389.67","2407.05","2379.05","","-0.33%"
"08/06/2024","2389.37","2410.01","2418.35","2381.79","","-0.76%"
"08/05/2024","2407.65","2443.27","2458.80","2364.40","","-1.46%"
"08/02/2024","2443.29","2445.16","2477.72","2410.83","","-0.09%"
"08/01/2024","2445.42","2448.10","2462.40","2430.25","","-0.11%"
"07/31/2024","2448.10","2410.09","2451.00","2403.86","","1.65%"
"07/30/2024","2408.43","2383.66","2413.00","2376.51","","1.04%"
"07/29/2024","2383.54","2387.20","2403.23","2369.77","","-0.09%"
"07/26/2024","2385.57","2364.30","2390.82","2355.89","","0.89%"
"07/25/2024","2364.50","2398.49","2401.32","2353.19","","-1.38%"
"07/24/2024","2397.59","2408.94","2432.05","2396.50","","-0.48%"
"07/23/2024","2409.21","2396.80","2412.15","2388.26","","0.48%"
"07/22/2024","2397.65","2400.41","2412.32","2384.00","","-0.13%"
"07/19/2024","2400.79","2445.34","2446.29","2393.92","","-1.81%"
"07/18/2024","2444.97","2460.13","2475.02","2440.41","","-0.55%"
"07/17/2024","2458.38","2476.22","2483.78","2451.60","","-0.41%"
"07/16/2024","2468.57","2424.80","2469.91","2423.54","","1.92%"
"07/15/2024","2422.07","2409.50","2439.74","2401.35","","0.45%"
"07/12/2024","2411.27","2416.47","2418.37","2391.52","","-0.15%"
"07/11/2024","2414.78","2371.58","2424.62","2370.83","","1.84%"
"07/10/2024","2371.07","2363.80","2386.75","2362.73","","0.32%"
"07/09/2024","2363.58","2358.60","2371.52","2349.59","","0.20%"
"07/08/2024","2358.80","2391.77","2391.85","2351.16","","-1.37%"
"07/05/2024","2391.46","2358.01","2393.04","2354.03","","1.50%"
"07/04/2024","2356.12","2353.70","2362.64","2350.76","","0.00%"
"07/03/2024","2356.06","2328.00","2365.06","2326.93","","1.15%"
"07/02/2024","2329.28","2332.05","2336.90","2319.24","","-0.10%"
"07/01/2024","2331.70","2326.46","2338.72","2318.55","","0.26%"
"06/28/2024","2325.71","2327.75","2339.79","2319.15","","-0.07%"
"06/27/2024","2327.45","2299.80","2331.00","2296.50","","1.29%"
"06/26/2024","2297.91","2320.00","2323.95","2293.70","","-0.91%"
"06/25/2024","2319.01","2333.25","2337.26","2315.56","","-0.60%"
"06/24/2024","2332.93","2321.60","2335.02","2317.37","","0.54%"
"06/21/2024","2320.34","2360.30","2368.85","2316.76","","-1.66%"
"06/20/2024","2359.63","2329.15","2365.52","2327.30","","1.38%"
"06/19/2024","2327.48","2329.79","2335.10","2323.84","","-0.04%"
"06/18/2024","2328.33","2319.38","2333.25","2306.63","","0.41%"
"06/17/2024","2318.87","2332.20","2333.48","2310.02","","-0.59%"
"06/14/2024","2332.52","2302.52","2336.87","2301.35","","1.27%"
"06/13/2024","2303.19","2325.70","2326.70","2295.68","","-0.83%"
"06/12/2024","2322.55","2315.53","2341.70","2310.80","","0.27%"
"06/11/2024","2316.27","2311.00","2320.17","2297.69","","0.25%"
"06/10/2024","2310.60","2296.00","2313.87","2287.31","","0.78%"
"06/07/2024","2292.71","2376.50","2387.85","2286.77","","-3.49%"
"06/06/2024","2375.61","2355.16","2378.57","2353.60","","0.88%"
"06/05/2024","2354.78","2328.00","2358.07","2325.88","","1.16%"
"06/04/2024","2327.68","2349.00","2351.76","2315.53","","-0.96%"
"06/03/2024","2350.35","2329.61","2354.82","2314.76","","1.00%"
"05/31/2024","2326.97","2345.07","2353.24","2323.96","","-0.68%"
"05/30/2024","2343.00","2339.67","2351.83","2322.72","","0.18%"
"05/29/2024","2338.77","2361.00","2362.86","2334.75","","-0.94%"
"05/28/2024","2360.95","2352.29","2364.12","2340.17","","0.43%"
"05/27/2024","2350.74","2334.50","2358.56","2332.36","","0.73%"
"05/24/2024","2333.76","2328.40","2347.54","2325.40","","0.23%"
"05/23/2024","2328.37","2378.60","2383.86","2327.00","","-2.10%"
"05/22/2024","2378.25","2423.75","2426.64","2374.98","","-1.79%"
"05/21/2024","2421.64","2426.84","2434.00","2406.32","","-0.14%"
"05/20/2024","2425.12","2415.02","2450.13","2407.34","","0.42%"
"05/17/2024","2414.89","2376.81","2422.87","2373.96","","1.62%"
"05/16/2024","2376.44","2386.42","2397.44","2371.01","","-0.40%"
"05/15/2024","2386.04","2358.20","2390.36","2351.82","","1.19%"
"05/14/2024","2357.97","2338.20","2359.83","2334.55","","0.94%"
"05/13/2024","2336.05","2362.70","2364.94","2332.34","","-1.02%"
"05/10/2024","2360.14","2346.26","2378.45","2345.25","","0.61%"
"05/09/2024","2345.88","2309.04","2347.59","2306.67","","1.61%"
"05/08/2024","2308.65","2314.70","2321.56","2303.85","","-0.22%"
"05/07/2024","2313.79","2322.50","2330.06","2310.06","","-0.42%"
"05/06/2024","2323.57","2302.50","2331.99","2291.79","","0.96%"
"05/03/2024","2301.56","2303.20","2321.64","2277.47","","-0.08%"
"05/02/2024","2303.29","2319.89","2326.57","2285.58","","-0.63%"
"05/01/2024","2317.90","2285.91","2328.40","2281.66","","1.41%"
